siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,latitude,longitude
325175,16,32517500016,O,2000-09-26,,,3212ZZ,2015-03-18T00:58:59,False,3,,,,,MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI,,,98727,,,,,,,,,,,,,,,,,,,2009-05-27,F,,,,,32.12Z,NAFRev2,N,49.220518,6.015168
325175,24,32517500024,O,2008-05-20,,,,2011-12-12T09:40:04,False,2,,1.0,,PL,LEONCE DE SEYNES,84140,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,47.89Z,NAFRev2,N,43.93819,4.882656
325175,32,32517500032,O,2009-05-27,,,,2014-07-08T00:10:21,False,2,ECONOMIS,6.0,,AV,FRANCOIS MAURIAC,84000,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,32.12Z,NAFRev2,N,43.932374,4.844274
325175,40,32517500040,O,2011-10-21,,,3212ZZ,2015-03-18T00:58:59,False,2,,170.0,,AV,DU COL DE L ANGE,13420,GEMENOS,,,13042,,,,,,,,,,,,,,,,,,,2014-01-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N,43.280158,5.623075
325175,57,32517500057,O,2014-01-07,,,,2018-07-10T14:17:15,False,2,,61.0,,RUE,MARX DORMOY,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,2018-02-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N,43.299866,5.397044
325175,65,32517500065,O,2018-02-07,,,,2019-12-13T13:21:28,True,1,,51.0,,RUE,MARX DORMOY,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,2018-02-07,A,,,,,32.12Z,NAFRev2,N,43.30025,5.396812
1807254,14,180725400014,O,1972-05-01,,,,2009-10-02T11:01:38,False,2,,15.0,,RUE,D INGLEMUR,54200,TOUL,,,54528,,,,,,,,,,,,,,,,,,,1978-05-31,F,,,,,,,N,48.674509,5.89245
1807254,22,180725400022,O,2009-10-01,,,,2019-11-14T14:00:13,True,2,,31.0,,RUE,D ALEMBERT,2100,SAINT-QUENTIN,,,2691,,,,,,,,,,,,,,,,,,,2014-12-31,F,,,,,85.59A,NAFRev2,N,49.864165,3.296125
5410220,15,541022000015,O,,NN,,,2019-11-14T14:01:01,True,1,,,,RUE,DE HOUDENT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,1988-03-31,F,,,,,22.02,NAP,N,50.050781,1.688378
5410345,10,541034500010,O,,,,,,True,1,,,,RTE,DE DOULLENS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,79.06,NAP,N,50.106715,1.846773
5410394,18,541039400018,O,,NN,,,,True,1,,,,CHE,PETIT,80120,ARGOULES,,,80025,,,,,,,,,,,,,,,,,,,1987-12-01,F,,,,,64.42,NAP,N,50.358486,1.804069
5410428,14,541042800014,O,1954-01-01,NN,,,,True,1,,68.0,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1989-06-11,F,,,,,70.2C,NAF1993,N,50.111441,1.82887
5410436,17,541043600017,O,,,,,,True,1,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.11,NAP,N,50.107469,1.825546
5410485,14,541048500014,O,,,,,,True,1,,177.0,,RUE,GRANDE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.42,NAP,N,50.024543,1.565542
5410493,18,541049300018,O,,,,,2019-11-14T14:01:01,True,1,,,,HAM,DE HAMICOURT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,,F,,,,,86.06,NAP,N,50.02784,1.690728
