siren,siret,adresse,postcode,city
325175,32517500016,  ,98770,MANIHI
325175,32517500024,1  PL,84140,AVIGNON
325175,32517500032,6  AV,84000,AVIGNON
325175,32517500040,170  AV,13420,GEMENOS
325175,32517500057,61  RUE,13004,MARSEILLE 4
325175,32517500065,51  RUE,13004,MARSEILLE 4
1807254,180725400014,15  RUE,54200,TOUL
1807254,180725400022,31  RUE,02100,SAINT-QUENTIN
5410220,541022000015,  RUE,80210,TOURS-EN-VIMEU
5410345,541034500010,  RTE,80100,ABBEVILLE
5410394,541039400018,  CHE,80120,ARGOULES
5410428,541042800014,68  CHS,80100,ABBEVILLE
5410436,541043600017,  CHS,80100,ABBEVILLE
5410485,541048500014,177  RUE,80220,GAMACHES
5410493,541049300018,  HAM,80210,TOURS-EN-VIMEU
5410501,541050100018,  RUE,80150,VIRONCHAUX
5410519,541051900010,10  RUE,80550,LE CROTOY
5410527,541052700013,84  RUE,80100,ABBEVILLE
5410543,541054300010,  RTE,80860,NOUVION
5410642,541064200010,1  RUE,80220,GAMACHES
5410667,541066700017,  ,80132,MAREUIL-CAUBERT
5410675,541067500010,  ,80270,ALLERY
5410717,541071700010,27  RUE,80135,SAINT-RIQUIER
5410733,541073300017,17  ,80100,ABBEVILLE
5410741,541074100010,  AV,80120,QUEND
5410758,541075800014,  CHS,80100,ABBEVILLE
5410816,541081600010,3  RUE,80370,HIERMONT
5410857,541085700014,37  RUE,80100,ABBEVILLE
5410873,541087300029,9  RUE,80220,GAMACHES
5410899,541089900024,21  BD,80100,ABBEVILLE
5410949,541094900019,35  PL,80100,ABBEVILLE
5410980,541098000014,  ,80132,MIANNAY
5411053,541105300019,  RUE,80870,MOYENNEVILLE
5411236,541123600010,  RUE,80220,MAISNIERES
5411343,541134300014,  RUE,80150,CRECY-EN-PONTHIEU
5411434,541143400011,  ,80120,FAVIERES
5411483,541148300018,  ,80150,CRECY-EN-PONTHIEU
5411582,541158200017,47  CHS,80100,ABBEVILLE
5411699,541169900019,  ,80150,CRECY-EN-PONTHIEU
5411806,541180600010,  RUE,80100,ABBEVILLE
5411954,541195400018,  RUE,80550,LE CROTOY
5411962,541196200011,  ,80150,DOMVAST
5411996,541199600019,10  AV,80100,ABBEVILLE
5420013,542001300012,264  CHS,80100,ABBEVILLE
5420021,542002100015,17  RUE,80100,ABBEVILLE
5420021,542002100023,  RUE,76630,ENVERMEU
