siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
000325175,00016,00032517500016,O,2000-09-26,,,3212ZZ,2015-03-18T00:58:59,false,3,,,,,MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI,,,98727,,,,,,,,,,,,,,,,,,,2009-05-27,F,,,,,32.12Z,NAFRev2,N
000325175,00024,00032517500024,O,2008-05-20,,,,2011-12-12T09:40:04,false,2,,1,,PL,LEONCE DE SEYNES,84140,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,47.89Z,NAFRev2,N
000325175,00032,00032517500032,O,2009-05-27,,,,2014-07-08T00:10:21,false,2,ECONOMIS,6,,AV,FRANCOIS MAURIAC,84000,AVIGNON,,,84007,,,,,,,,,,,,,,,,,,,2011-10-21,F,TAHITI PERLES CREATIONS,,,,32.12Z,NAFRev2,N
000325175,00040,00032517500040,O,2011-10-21,,,3212ZZ,2015-03-18T00:58:59,false,2,,170,,AV,DU COL DE L ANGE,13420,GEMENOS,,,13042,,,,,,,,,,,,,,,,,,,2014-01-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N
000325175,00057,00032517500057,O,2014-01-07,,,,2018-07-10T14:17:15,false,2,,61,,RUE,MARX DORMOY,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,2018-02-07,F,TAHITI PERLES CREATION,,,,32.12Z,NAFRev2,N
000325175,00065,00032517500065,O,2018-02-07,,,,2019-12-13T13:21:28,true,1,,51,,RUE,MARX DORMOY,13004,MARSEILLE 4,,,13204,,,,,,,,,,,,,,,,,,,2018-02-07,A,,,,,32.12Z,NAFRev2,N
001807254,00014,00180725400014,O,1972-05-01,,,,2009-10-02T11:01:38,false,2,,15,,RUE,D INGLEMUR,54200,TOUL,,,54528,,,,,,,,,,,,,,,,,,,1978-05-31,F,,,,,,,N
001807254,00022,00180725400022,O,2009-10-01,,,,2019-11-14T14:00:13,true,2,,31,,RUE,D ALEMBERT,02100,SAINT-QUENTIN,,,02691,,,,,,,,,,,,,,,,,,,2014-12-31,F,,,,,85.59A,NAFRev2,N
005410220,00015,00541022000015,O,,NN,,,2019-11-14T14:01:01,true,1,,,,RUE,DE HOUDENT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,1988-03-31,F,,,,,22.02,NAP,N
005410345,00010,00541034500010,O,,,,,,true,1,,,,RTE,DE DOULLENS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,79.06,NAP,N
005410394,00018,00541039400018,O,,NN,,,,true,1,,,,CHE,PETIT,80120,ARGOULES,,,80025,,,,,,,,,,,,,,,,,,,1987-12-01,F,,,,,64.42,NAP,N
005410428,00014,00541042800014,O,1954-01-01,NN,,,,true,1,,68,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1989-06-11,F,,,,,70.2C,NAF1993,N
005410436,00017,00541043600017,O,,,,,,true,1,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.11,NAP,N
005410485,00014,00541048500014,O,,,,,,true,1,,177,,RUE,GRANDE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.42,NAP,N
005410493,00018,00541049300018,O,,,,,2019-11-14T14:01:01,true,1,,,,HAM,DE HAMICOURT,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,,F,,,,,86.06,NAP,N
005410501,00018,00541050100018,O,1954-01-01,NN,,,,true,1,,,,RUE,FORT MARDI,80150,VIRONCHAUX,,,80808,,,,,,,,,,,,,,,,,,,2001-12-31,F,,,,,55.4B,NAF1993,N
005410519,00010,00541051900010,O,,NN,,,,true,1,,10,,RUE,PASTEUR,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
005410527,00013,00541052700013,O,,,,,,true,1,,84,,RUE,PASTEUR,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1997-07-01,F,,,,,70.2C,NAF1993,N
005410543,00010,00541054300010,O,,,,,,true,1,,,,RTE,NATIONALE,80860,NOUVION,,,80598,,,,,,,,,,,,,,,,,,,,F,,,,,67.05,NAP,N
005410642,00010,00541064200010,O,,NN,,,,true,1,,1,,RUE,DE SAINT VALERY,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,64.45,NAP,N
005410667,00017,00541066700017,O,,NN,,,2019-11-14T14:01:01,true,1,,,,,,80132,MAREUIL-CAUBERT,,,80512,,,,,,,,,,,,,,,,,,,1996-10-30,F,,,,,55.4B,NAF1993,O
