,siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
0,325175,32517500016,MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI,49.220518,6.015168,Rue du 6 Septembre 57860 Montois-la-Montagne,0.2182356198347107,0.21142504132231402,street,57481_0420,,Rue du 6 Septembre,Rue du 6 Septembre,57860,Montois-la-Montagne,"57, Moselle, Grand Est",57481,,,,ok
1,325175,32517500024,1.0+PL+LEONCE DE SEYNES,84140,AVIGNON,43.938076,4.882627,Place Léonce de Seynes 84000 Avignon,0.5188597466467958,0.323416985645933,street,84007_cvsrg4,,Place Léonce de Seynes,Place Léonce de Seynes,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
2,325175,32517500032,6.0+AV+FRANCOIS MAURIAC,84000,AVIGNON,43.932567,4.843627,Avenue François Mauriac 84000 Avignon,0.512320909090909,,street,84007_2225,,Avenue François Mauriac,Avenue François Mauriac,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
3,325175,32517500040,170.0+AV+DU COL DE L ANGE,13420,GEMENOS,43.278942,5.624576,Avenue du Col de l’Ange 13420 Gémenos,0.49135090909090906,,street,13042_0096,,Avenue du Col de l’Ange,Avenue du Col de l’Ange,13420,Gémenos,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13042,,,,ok
4,325175,32517500057,61.0+RUE+MARX DORMOY,13004,MARSEILLE 4,43.300946,5.396319,Rue marx dormoy 13004 Marseille,0.5333167084639499,,street,13204_5859,,Rue marx dormoy,Rue marx dormoy,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
5,325175,32517500065,51.0+RUE+MARX DORMOY,13004,MARSEILLE 4,43.300946,5.396319,Rue marx dormoy 13004 Marseille,0.5333167084639499,,street,13204_5859,,Rue marx dormoy,Rue marx dormoy,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
6,1807254,180725400014,15.0+RUE+D INGLEMUR,54200,TOUL,48.674712,5.892677,Rue d'Inglemur 54200 Toul,0.4716840559440559,,street,54528_0700,,Rue d'Inglemur,Rue d'Inglemur,54200,Toul,"54, Meurthe-et-Moselle, Grand Est",54528,,,,ok
7,1807254,180725400022,31.0+RUE+D ALEMBERT,2100,SAINT-QUENTIN,49.86372,3.297904,Rue d'Alembert 02100 Saint-Quentin,0.5602018181818181,0.3248715420023015,street,02691_0115,,Rue d'Alembert,Rue d'Alembert,02100,Saint-Quentin,"02, Aisne, Hauts-de-France",02691,,,,ok
8,5410220,541022000015,RUE+DE HOUDENT,80210,TOURS-EN-VIMEU,50.050781,1.688378,Rue de Bas a Houdent 80210 Tours-en-Vimeu,0.5294459451659451,0.4849809090909091,street,80765_0060,,Rue de Bas a Houdent,Rue de Bas a Houdent,80210,Tours-en-Vimeu,"80, Somme, Hauts-de-France",80765,,,,ok
9,5410345,541034500010,RTE+DE DOULLENS,80100,ABBEVILLE,50.106715,1.846773,10 Route de Doullens 80100 Abbeville,0.5788905194805194,,housenumber,80001_0620_00010,10,10 Route de Doullens,Route de Doullens,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
10,5410394,541039400018,CHE+PETIT,80120,ARGOULES,50.358486,1.804069,Petit Preau 80120 Argoules,0.3759958041958042,0.3442468595041322,street,80025_B035,,Petit Preau,Petit Preau,80120,Argoules,"80, Somme, Hauts-de-France",80025,,,,ok
11,5410428,541042800014,68.0+CHS+MARCADE,80100,ABBEVILLE,50.111441,1.82887,Chaussée Marcadé 80100 Abbeville,0.41621252199413483,,street,80001_1240,,Chaussée Marcadé,Chaussée Marcadé,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
12,5410436,541043600017,CHS+D HOCQUET,80100,ABBEVILLE,50.107469,1.825546,Chaussée d'Hocquet 80100 Abbeville,0.46710451463790437,,street,80001_0950,,Chaussée d'Hocquet,Chaussée d'Hocquet,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
13,5410485,541048500014,177.0+RUE+GRANDE,80220,GAMACHES,50.024543,1.565542,Grande Rue 80220 Buigny-lès-Gamaches,0.37452251748251747,0.3571778018995929,street,80148_0060,,Grande Rue,Grande Rue,80220,Buigny-lès-Gamaches,"80, Somme, Hauts-de-France",80148,,,,ok
