siren,siret,adresse,postcode,city
325175,32517500016, MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI
325175,32517500024,1 PL LEONCE DE SEYNES,84140,AVIGNON
325175,32517500032,6 AV FRANCOIS MAURIAC,84000,AVIGNON
325175,32517500040,170 AV DU COL DE L ANGE,13420,GEMENOS
325175,32517500057,61 RUE MARX DORMOY,13004,MARSEILLE 4
325175,32517500065,51 RUE MARX DORMOY,13004,MARSEILLE 4
1807254,180725400014,15 RUE D INGLEMUR,54200,TOUL
1807254,180725400022,31 RUE D ALEMBERT,2100,SAINT-QUENTIN
5410220,541022000015, RUE DE HOUDENT,80210,TOURS-EN-VIMEU
5410345,541034500010, RTE DE DOULLENS,80100,ABBEVILLE
5410394,541039400018, CHE PETIT,80120,ARGOULES
5410428,541042800014,68 CHS MARCADE,80100,ABBEVILLE
5410436,541043600017, CHS D HOCQUET,80100,ABBEVILLE
5410485,541048500014,177 RUE GRANDE,80220,GAMACHES
5410493,541049300018, HAM DE HAMICOURT,80210,TOURS-EN-VIMEU
5410501,541050100018, RUE FORT MARDI,80150,VIRONCHAUX
5410519,541051900010,10 RUE PASTEUR,80550,LE CROTOY
5410527,541052700013,84 RUE PASTEUR,80100,ABBEVILLE
5410543,541054300010, RTE NATIONALE,80860,NOUVION
5410642,541064200010,1 RUE DE SAINT VALERY,80220,GAMACHES
5410667,541066700017,,80132,MAREUIL-CAUBERT
5410675,541067500010,,80270,ALLERY
5410717,541071700010,27 RUE SAINT JEAN,80135,SAINT-RIQUIER
5410733,541073300017,17 PETITE RUE NOTRE DAME,80100,ABBEVILLE
5410741,541074100010, AV DE LA GARE,80120,QUEND
5410758,541075800014, CHS MARCADE,80100,ABBEVILLE
5410816,541081600010,3 RUE DE L ARQUET,80370,HIERMONT
5410857,541085700014,37 RUE PIERRE SAUVAGE,80100,ABBEVILLE
5410873,541087300029,9 RUE CHARLES DE GAULLE,80220,GAMACHES
5410899,541089900024,21 BD VOLTAIRE,80100,ABBEVILLE
5410949,541094900019,35 PL MAX LEJEUNE,80100,ABBEVILLE
5410980,541098000014,,80132,MIANNAY
5411053,541105300019, RUE D ABBEVILLE,80870,MOYENNEVILLE
5411236,541123600010, RUE DU MOULIN,80220,MAISNIERES
5411343,541134300014, RUE DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU
5411434,541143400011,,80120,FAVIERES
5411483,541148300018,,80150,CRECY-EN-PONTHIEU
5411582,541158200017,47 CHS DU BOIS,80100,ABBEVILLE
5411699,541169900019,,80150,CRECY-EN-PONTHIEU
5411806,541180600010, RUE ALFRED FRANCOIS,80100,ABBEVILLE
5411954,541195400018, RUE JULES VERNE,80550,LE CROTOY
5411962,541196200011,,80150,DOMVAST
5411996,541199600019,10 AV DE LA GARE,80100,ABBEVILLE
5420013,542001300012,264 CHS D HOCQUET,80100,ABBEVILLE
5420021,542002100015,17 RUE DES LINGERS,80100,ABBEVILLE
5420021,542002100023, RUE TUROLD,76630,ENVERMEU
5420021,542002100031,134 RUE HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN
5420021,542002100049,52 RUE VENTOSE,80100,ABBEVILLE
5420021,542002100056,21 B BD DES PRES,80100,ABBEVILLE
5420039,542003900017,3 PL DU PILORI,80100,ABBEVILLE
5420047,542004700010,114 CHS MARCADE,80100,ABBEVILLE
5420047,542004700028,2 RIVE DROITE DE LA SOMME,80100,ABBEVILLE
5420054,542005400024,54 RUE DES ECOLES,80970,SAILLY-FLIBEAUCOURT
5420070,542007000020,2 VOIE NOUVELLE,80100,ABBEVILLE
5420088,542008800014,3 RUE DES LINGERS,80100,ABBEVILLE
5420104,542010400019,13 PL MAX LEJEUNE,80100,ABBEVILLE
5420120,542012000015, RUE DE LA FONTAINE,80120,RUE
5420120,542012000023,12 RTE DE MONTREUIL,62180,RANG-DU-FLIERS
5420120,542012000031, RTE NATIONALE,62140,MARCONNELLE
5420120,542012000049, RUE DE LA GARE,62180,CONCHIL-LE-TEMPLE
5420146,542014600010, PL DU GENERAL LECLERC,80120,RUE
5420153,542015300016, RUE MARECHAL FOCH,80100,ABBEVILLE
5420187,542018700014, CHS D HOCQUET,80100,ABBEVILLE
5420195,542019500033, AU CHEMIN DE LA RIVIERE,80140,RAMBURES
5420245,542024500010,2 BD VAUBAN,80100,ABBEVILLE
5420260,542026000019, RUE JOLIOT CURIE,80570,DARGNIES
5420278,542027800011,,80270,ALLERY
5440011,544001100012, AV DE VERDUN,4000,DIGNE-LES-BAINS
5440078,544007800011,,4370,COLMARS
5440110,544011000038, CRS PECHINEY,4600,CHATEAU-ARNOUX-SAINT-AUBAN
5440110,544011000053,13 BD GASSENDI,4000,DIGNE-LES-BAINS
5440110,544011000061,6 RUE FIRMIN GUICHARD,4000,DIGNE-LES-BAINS
5440136,544013600017,,4500,QUINSON
5440185,544018500014,,4250,TURRIERS
5440219,544021900011,,4210,VALENSOLE
5440235,544023500017,,4170,THORAME-BASSE
5440409,544040900018, RUE CHAPUZIE,4200,SISTERON
5440508,544050800017, RTE NEUVE,4160,CHATEAU-ARNOUX-SAINT-AUBAN
5440557,544055700014, PL DES RECOLLETS,4000,DIGNE-LES-BAINS
5440565,544056500017, PL DU GENERAL DE GAULLE,4200,SISTERON
5440649,544064900019, RUE LOGIS,4800,SAINT-MARTIN-DE-BROMES
5440672,544067200011,,4120,CASTELLANE
5440698,544069800016,,4370,COLMARS
5440722,544072200014,,4120,CASTELLANE
5440755,544075500014,,4190,LES MEES
5440789,544078900013,,4530,LA CONDAMINE-CHATELARD
5440797,544079700016,,4700,ORAISON
