siren,siret,adresse,postcode,city,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
325175,32517500016, MANIHI COTE MONTAGNE TUAMOTU,98770,MANIHI,49.220518,6.015168,Rue du 6 Septembre 57860 Montois-la-Montagne,0.22207955602536994,0.21502873150105706,street,57481_0420,,Rue du 6 Septembre,Rue du 6 Septembre,57860,Montois-la-Montagne,"57, Moselle, Grand Est",57481,,,,ok
325175,32517500024,1 PL LEONCE DE SEYNES,84140,AVIGNON,43.93819,4.882656,1 Place Léonce de Seynes 84000 Avignon,0.5831785167464114,0.350181652892562,housenumber,84007_cvsrg4_00001,1,1 Place Léonce de Seynes,Place Léonce de Seynes,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
325175,32517500032,6 AV FRANCOIS MAURIAC,84000,AVIGNON,43.932374,4.844274,6 Avenue François Mauriac 84000 Avignon,0.5750168338557993,,housenumber,84007_2225_00006,6,6 Avenue François Mauriac,Avenue François Mauriac,84000,Avignon,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84007,,,,ok
325175,32517500040,170 AV DU COL DE L ANGE,13420,GEMENOS,43.280158,5.623075,170 Avenue du Col de l’Ange 13420 Gémenos,0.5813130303030303,,housenumber,13042_0096_00170,170,170 Avenue du Col de l’Ange,Avenue du Col de l’Ange,13420,Gémenos,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13042,,,,ok
325175,32517500057,61 RUE MARX DORMOY,13004,MARSEILLE 4,43.299866,5.397044,61 Rue marx dormoy 13004 Marseille,0.6186528282828283,,housenumber,13204_5859_00061,61,61 Rue marx dormoy,Rue marx dormoy,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
325175,32517500065,51 RUE MARX DORMOY,13004,MARSEILLE 4,43.30025,5.396812,51 Rue marx dormoy 13004 Marseille,0.6186528282828283,,housenumber,13204_5859_00051,51,51 Rue marx dormoy,Rue marx dormoy,13004,Marseille,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13204,,,Marseille 4e Arrondissement,ok
1807254,180725400014,15 RUE D INGLEMUR,54200,TOUL,48.674509,5.89245,15 Rue d'Inglemur 54200 Toul,0.5634672727272727,,housenumber,54528_0700_00015,15,15 Rue d'Inglemur,Rue d'Inglemur,54200,Toul,"54, Meurthe-et-Moselle, Grand Est",54528,,,,ok
1807254,180725400022,31 RUE D ALEMBERT,2100,SAINT-QUENTIN,49.864165,3.296125,31 Rue d'Alembert 02100 Saint-Quentin,0.6184155342902711,0.34021484848484845,housenumber,02691_0115_00031,31,31 Rue d'Alembert,Rue d'Alembert,02100,Saint-Quentin,"02, Aisne, Hauts-de-France",02691,,,,ok
5410220,541022000015, RUE DE HOUDENT,80210,TOURS-EN-VIMEU,50.050781,1.688378,Rue de Bas a Houdent 80210 Tours-en-Vimeu,0.545531862891207,0.49964366568914953,street,80765_0060,,Rue de Bas a Houdent,Rue de Bas a Houdent,80210,Tours-en-Vimeu,"80, Somme, Hauts-de-France",80765,,,,ok
5410345,541034500010, RTE DE DOULLENS,80100,ABBEVILLE,50.106715,1.846773,10 Route de Doullens 80100 Abbeville,0.5981305387205387,,housenumber,80001_0620_00010,10,10 Route de Doullens,Route de Doullens,80100,Abbeville,"80, Somme, Hauts-de-France",80001,,,,ok
