restaurant_id,name,cuisine,borough,address,score,lng,lat
30075445,Morris Park Bake Shop,Bakery,Bronx,1007 Morris Park Ave 10462,2.0,-73.856077,40.848447
30112340,Wendy'S,Hamburgers,Brooklyn,469 Flatbush Avenue 11225,8.0,-73.961704,40.662942
30191841,Dj Reynolds Pub And Restaurant,Irish,Manhattan,351 West   57 Street 10019,2.0,-73.98513559999999,40.7676919
40356018,Riviera Caterer,American ,Brooklyn,2780 Stillwell Avenue 11224,5.0,-73.98241999999999,40.579505
40356068,Tov Kosher Kitchen,Jewish/Kosher,Queens,97-22 63 Road 11374,20.0,-73.8601152,40.7311739
40356151,Brunos On The Boulevard,American ,Queens,8825 Astoria Boulevard 11369,38.0,-73.8803827,40.7643124
40356442,Kosher Island,Jewish/Kosher,Staten Island,2206 Victory Boulevard 10314,9.0,-74.1377286,40.6119572
40356483,Wilken'S Fine Food,Delicatessen,Brooklyn,7114 Avenue U 11234,10.0,-73.9068506,40.6199034
40356649,Regina Caterers,American ,Brooklyn,6409 11 Avenue 11219,12.0,-74.00528899999999,40.628886
40356731,Taste The Tropics Ice Cream,"Ice Cream, Gelato, Yogurt, Ices",Brooklyn,1839 Nostrand Avenue 11226,12.0,-73.9482609,40.6408271
40357217,Wild Asia,American ,Bronx,2300 Southern Boulevard 10460,11.0,-73.8786113,40.8502883
40357437,C & C Catering Service,American ,Brooklyn,7715 18 Avenue 11214,5.0,-73.9973325,40.61174889999999
40358429,May May Kitchen,Chinese,Brooklyn,1269 Sutter Avenue 11208,21.0,-73.871194,40.6730975
40359480,1 East 66Th Street Kitchen,American ,Manhattan,1 East   66 Street 10065,3.0,-73.96926909999999,40.7685235
40360045,Seuda Foods,Jewish/Kosher,Brooklyn,705 Kings Highway 11223,11.0,-73.9653967,40.6064339
40360076,Carvel Ice Cream,"Ice Cream, Gelato, Yogurt, Ices",Brooklyn,203 Church Avenue 11218,2.0,-73.97822040000001,40.6435254
40361322,Carvel Ice Cream,"Ice Cream, Gelato, Yogurt, Ices",Queens,265-15 Hillside Avenue 11004,9.0,-73.7032601,40.7386417
40361390,Nordic Delicacies,Delicatessen,Brooklyn,6909 3 Avenue 11209,4.0,-74.0259567,40.6353674
40361521,Glorious Food,American ,Manhattan,522 East   74 Street 10021,12.0,-73.95171,40.767461
40361606,The Movable Feast,American ,Brooklyn,284 Prospect Park West 11215,11.0,-73.9829239,40.6580753
