Ville,Année,Mois,Ventes,Volume,PrixMedian,Stock
Abilene,2000,1,72,5380000,71400,701
Abilene,2000,2,98,6505000,58700,746
Abilene,2000,3,130,9285000,58100,784
Abilene,2000,4,98,9730000,68600,785
Abilene,2000,5,141,10590000,67300,794
Abilene,2000,6,156,13910000,66900,780
Abilene,2000,7,152,12635000,73500,742
Abilene,2000,8,131,10710000,75000,765
Abilene,2000,9,104,7615000,64500,771
Abilene,2000,10,101,7040000,59300,764
Abilene,2000,11,100,7890000,70900,721
Abilene,2000,12,92,7285000,65000,658
Abilene,2001,1,75,5730000,64500,779
Abilene,2001,2,112,8670000,68900,700
Abilene,2001,3,118,9550000,72300,738
Abilene,2001,4,105,8705000,71500,810
Abilene,2001,5,150,11850000,71000,772
Abilene,2001,6,139,11290000,78100,825
Abilene,2001,7,134,13175000,86700,801
Abilene,2001,8,151,11840000,69000,891
Abilene,2001,9,116,8395000,64200,849
Abilene,2001,10,121,9010000,64600,756
Abilene,2001,11,116,8955000,69100,695
Abilene,2001,12,94,7195000,71800,620
Abilene,2002,1,94,6530000,64000,652
Abilene,2002,2,94,6860000,62900,746
Abilene,2002,3,107,8385000,62100,774
Abilene,2002,4,135,10465000,66900,767
Abilene,2002,5,154,11465000,69200,778
Abilene,2002,6,136,11600000,76700,758
Abilene,2002,7,159,13500000,73900,746
Abilene,2002,8,155,12875000,82200,709
Abilene,2002,9,133,9965000,67300,703
Abilene,2002,10,134,10395000,73600,664
Abilene,2002,11,107,8485000,59400,643
Abilene,2002,12,108,8150000,65000,649
Abilene,2003,1,68,5385000,70000,668
Abilene,2003,2,110,8500000,72300,716
Abilene,2003,3,120,9445000,62300,765
Abilene,2003,4,125,11270000,79700,763
Abilene,2003,5,142,12030000,79400,750
Abilene,2003,6,132,11545000,71400,777
Abilene,2003,7,171,13940000,75000,778
Abilene,2003,8,193,16230000,78200,731
Abilene,2003,9,147,13350000,74300,730
Abilene,2003,10,142,11215000,67300,721
Abilene,2003,11,129,10110000,66400,675
Abilene,2003,12,153,12655000,66900,640
Abilene,2004,1,97,6945000,66100,657
Abilene,2004,2,119,9810000,70400,682
Abilene,2004,3,169,13635000,63900,668
Abilene,2004,4,171,14475000,68600,696
Abilene,2004,5,159,13085000,71700,752
Abilene,2004,6,179,16255000,79600,720
Abilene,2004,7,176,16685000,82000,701
Abilene,2004,8,190,19190000,91800,686
Abilene,2004,9,142,12325000,74700,677
Abilene,2004,10,144,12620000,81000,663
Abilene,2004,11,138,12375000,77500,630
Abilene,2004,12,146,12270000,71100,600
Abilene,2005,1,119,10255000,74200,570
Abilene,2005,2,130,11770000,74300,581
Abilene,2005,3,170,14470000,71300,661
Abilene,2005,4,171,16355000,80300,650
Abilene,2005,5,176,18080000,87100,660
Abilene,2005,6,230,24050000,92500,664
Abilene,2005,7,177,18495000,93500,657
Abilene,2005,8,216,24065000,97500,638
Abilene,2005,9,165,17145000,92800,644
Abilene,2005,10,161,16365000,92300,601
Abilene,2005,11,137,13390000,92800,496
Abilene,2005,12,125,14415000,102500,522
Abilene,2006,1,107,11890000,90800,559
Abilene,2006,2,152,16875000,98200,561
Abilene,2006,3,155,18030000,105400,NA
Abilene,2006,4,172,17955000,100000,683
Abilene,2006,5,179,20400000,103000,736
Abilene,2006,6,225,26620000,99800,786
Abilene,2006,7,169,19160000,93200,804
Abilene,2006,8,220,25735000,104000,812
Abilene,2006,9,159,19850000,109500,817
Abilene,2006,10,156,17100000,97100,797
Abilene,2006,11,146,15930000,99400,792
Abilene,2006,12,157,17985000,103100,724
Abilene,2007,1,132,13335000,91700,746
Abilene,2007,2,140,16105000,100000,774
Abilene,2007,3,212,20410000,86500,816
Abilene,2007,4,192,20090000,89100,807
Abilene,2007,5,213,24410000,99500,849
Abilene,2007,6,212,27605000,121200,872
Abilene,2007,7,239,29315000,114300,940
Abilene,2007,8,196,25015000,113700,948
Abilene,2007,9,127,16588549,111500,932
Abilene,2007,10,134,16036403,110700,932
Abilene,2007,11,107,12017671,102600,892
Abilene,2007,12,99,11134962,103000,856
Abilene,2008,1,84,9089942,88800,859
Abilene,2008,2,127,15970270,111900,899
Abilene,2008,3,147,15496685,97500,923
Abilene,2008,4,161,18288157,106900,941
Abilene,2008,5,182,21314933,104000,951
Abilene,2008,6,180,21146068,110400,1000
Abilene,2008,7,171,19502253,106400,1013
Abilene,2008,8,131,16067354,111200,966
Abilene,2008,9,141,15643014,106900,992
Abilene,2008,10,116,15057270,131600,860
Abilene,2008,11,94,10792418,100000,863
Abilene,2008,12,117,14151971,110000,821
Abilene,2009,1,70,8414801,92900,861
Abilene,2009,2,106,10921111,95700,869
Abilene,2009,3,131,15148755,106400,891
Abilene,2009,4,157,19565825,113800,890
Abilene,2009,5,143,16596602,105500,911
Abilene,2009,6,187,25342963,119300,802
Abilene,2009,7,158,21925623,126200,808
Abilene,2009,8,149,17827080,106900,785
Abilene,2009,9,128,16222840,111200,745
Abilene,2009,10,151,18076723,96800,734
Abilene,2009,11,130,16724086,114300,737
Abilene,2009,12,124,15591347,111400,705
Abilene,2010,1,73,9130783,112200,868
Abilene,2010,2,93,10372904,98300,830
Abilene,2010,3,133,16517713,114000,854
Abilene,2010,4,161,18788002,103600,859
Abilene,2010,5,200,22804393,99300,914
Abilene,2010,6,169,23216943,127900,932
Abilene,2010,7,159,22363123,127300,915
Abilene,2010,8,144,17504580,122000,936
Abilene,2010,9,116,15475763,121300,899
Abilene,2010,10,111,14570529,111900,863
Abilene,2010,11,115,11422741,87900,851
Abilene,2010,12,116,15289470,118300,830
Abilene,2011,1,68,8834493,123300,809
Abilene,2011,2,85,10250107,111200,822
Abilene,2011,3,131,16047423,110000,857
Abilene,2011,4,148,17453429,112000,855
Abilene,2011,5,181,22374531,115300,863
Abilene,2011,6,213,26635498,105400,840
Abilene,2011,7,172,22734236,117900,848
Abilene,2011,8,184,22066503,99000,795
Abilene,2011,9,138,19329727,121400,763
Abilene,2011,10,146,18916970,111100,743
Abilene,2011,11,125,17679449,127300,712
Abilene,2011,12,128,17843463,120000,693
Abilene,2012,1,95,11371474,105600,703
Abilene,2012,2,142,16905161,102000,720
Abilene,2012,3,172,20922281,112000,723
Abilene,2012,4,170,20909533,104400,722
Abilene,2012,5,211,28521200,111600,1125
Abilene,2012,6,188,25629200,120000,1176
Abilene,2012,7,183,26033906,127500,1176
Abilene,2012,8,220,31687638,130600,1132
Abilene,2012,9,146,19821491,123200,1095
Abilene,2012,10,191,24016275,103200,1075
Abilene,2012,11,142,19753059,125900,1036
Abilene,2012,12,156,19985676,106200,952
Abilene,2013,1,114,15794494,125300,966
Abilene,2013,2,140,16552641,94400,943
Abilene,2013,3,164,19609711,102500,958
Abilene,2013,4,213,27261796,113700,948
Abilene,2013,5,225,31901380,130000,923
Abilene,2013,6,209,29454125,127300,960
Abilene,2013,7,218,32547446,140000,969
Abilene,2013,8,236,30777727,120000,976
Abilene,2013,9,195,26237106,127500,985
Abilene,2013,10,167,21781187,119000,993
Abilene,2013,11,145,19950273,113200,946
Abilene,2013,12,145,18412418,104700,938
Abilene,2014,1,115,15391738,117000,922
Abilene,2014,2,137,17944719,127600,906
Abilene,2014,3,165,21615979,112400,929
Abilene,2014,4,178,25070931,124500,965
Abilene,2014,5,191,26615130,129300,1001
Abilene,2014,6,230,34398506,135200,1023
Abilene,2014,7,231,35861350,145800,1033
Abilene,2014,8,203,29671329,129200,1024
Abilene,2014,9,201,30904319,135900,1012
Abilene,2014,10,190,25431388,122400,987
Abilene,2014,11,158,24120554,132200,941
Abilene,2014,12,165,23959468,130000,823
Abilene,2015,1,158,23486998,134100,801
Abilene,2015,2,151,19834263,126500,767
Abilene,2015,3,198,31869437,136800,821
Abilene,2015,4,201,28301159,129600,891
Abilene,2015,5,199,31385757,144700,919
Abilene,2015,6,260,41396230,141500,965
Abilene,2015,7,268,45845730,148700,986
Amarillo,2000,1,102,8860000,80000,972
Amarillo,2000,2,147,13875000,78300,937
Amarillo,2000,3,201,17930000,74800,995
Amarillo,2000,4,176,16955000,87700,985
Amarillo,2000,5,198,19420000,81100,1020
Amarillo,2000,6,206,20035000,84100,1055
Amarillo,2000,7,190,20430000,94300,1193
Amarillo,2000,8,242,25995000,95300,1208
Amarillo,2000,9,158,16000000,91000,1248
