city,NbVentes,Volume,PrixMedian
Abilene,28141,3196850632,100000
Amarillo,44628,6078168806,117600
Arlington,79285,11639106881,127100
Austin,373381,90524109737,179400
Bay Area,93989,16805408935,147900
Beaumont,33110,4473962695,121100
Brazoria County,16302,2189772319,119200
Brownsville,12121,1486273355,93800
Bryan-College Station,34921,5768137453,139500
Collin County,202892,50053535023,195900
Corpus Christi,64000,9655983124,132100
Dallas,816122,173486594826,154500
Denton County,117405,23635412788,158900
El Paso,88604,12358112505,129600
Fort Bend,153088,34158903365,176000
Fort Worth,144791,20520537103,113300
Galveston,15364,3087660804,165000
Garland,36193,4352299874,107100
Harlingen,11153,1241957547,87250
Houston,1043999,213596052415,148400
Irving,22459,4104094127,130000
Kerrville,3554,727865490,165000
Killeen-Fort Hood,41281,4890834006,113600
Laredo,12283,1811709810,128800
Longview-Marshall,31884,4269626827,120000
Lubbock,49099,6547274620,106050
Lufkin,9828,1203118225,102000
McAllen,30002,3682728065,101500
Midland,16556,3619309670,181350
Montgomery County,104589,24169658501,168400
NE Tarrant County,128007,28492996271,161100
Nacogdoches,5625,727853572,116700
Odessa,11332,1734388638,136700
Paris,6638,655937681,80000
Port Arthur,12393,1389532056,99000
San Angelo,21296,2640988665,104300
San Antonio,322097,55866631901,143300
San Marcos,3532,568177320,146700
Sherman-Denison,19547,2277254720,92100
South Padre Island,2039,476221620,180000
Temple-Belton,23301,3159844331,115600
Texarkana,13731,1584630775,97900
Tyler,46457,7219282248,130300
Victoria,12947,1765552915,115000
Waco,29574,3868351752,114600
Wichita Falls,25662,2739455360,92000
